[2025-04-06 01:47:20] epoch 5 | loss:0.0131 | acc:0.9664 | time:367.25s
[2025-04-06 01:53:44] epoch 10 | loss:0.1573 | acc:0.9788 | time:379.75s
[2025-04-06 02:00:11] epoch 15 | loss:0.0052 | acc:0.9917 | time:381.91s
[2025-04-06 02:06:41] epoch 20 | loss:0.0017 | acc:0.9889 | time:385.52s
[2025-04-06 02:13:13] epoch 25 | loss:0.0023 | acc:0.9895 | time:386.66s
[2025-04-06 02:19:30] epoch 30 | loss:0.0003 | acc:0.9916 | time:372.98s
[2025-04-06 02:25:33] epoch 35 | loss:0.0009 | acc:0.9917 | time:358.89s
[2025-04-06 02:31:37] epoch 40 | loss:0.0032 | acc:0.9927 | time:359.93s
[2025-04-06 02:37:43] epoch 45 | loss:0.0001 | acc:0.9904 | time:361.76s
[2025-04-06 02:43:49] epoch 50 | loss:0.0000 | acc:0.9921 | time:361.55s
Finished Training! BATCH_SIZE=64, EPOCH=50, VAL_NUM=5
