头实体,关系,尾实体
阿司匹林,保质期,24个月
阿司匹林,生产日期,2023-01-15
阿司匹林,是否处方药,否
阿司匹林,是否医保药,是
阿司匹林,生产厂家,拜耳制药
阿司匹林,供应商,国药控股
阿司匹林,销售于,华佗大药房
拜耳制药,地址,德国
拜耳制药,生产药品,阿司匹林
国药控股,供应日期,2023-02-20
国药控股,地址,上海
国药控股,供应药品,阿司匹林
国药控股,供应给,华佗大药房
华佗大药房,地址,广州市天河区
华佗大药房,销售药品,阿司匹林
布洛芬,保质期,18个月
布洛芬,生产日期,2023-03-20
布洛芬,是否处方药,否
布洛芬,是否医保药,是
布洛芬,生产厂家,强生制药
布洛芬,供应商,华润医药
布洛芬,销售于,同仁堂大药房
强生制药,地址,美国
强生制药,生产药品,布洛芬
华润医药,供应日期,2023-04-10
华润医药,地址,北京
华润医药,供应药品,布洛芬
华润医药,供应给,同仁堂大药房
同仁堂大药房,地址,北京市西城区
同仁堂大药房,销售药品,布洛芬
对乙酰氨基酚,保质期,36个月
对乙酰氨基酚,生产日期,2022-11-05
对乙酰氨基酚,是否处方药,否
对乙酰氨基酚,是否医保药,是
对乙酰氨基酚,生产厂家,葛兰素史克
对乙酰氨基酚,供应商,九州通医药
对乙酰氨基酚,销售于,海王星辰大药房
葛兰素史克,地址,英国
葛兰素史克,生产药品,对乙酰氨基酚
九州通医药,供应日期,2023-05-10
九州通医药,地址,武汉
九州通医药,供应药品,对乙酰氨基酚
九州通医药,供应给,海王星辰大药房
海王星辰大药房,地址,深圳市南山区
海王星辰大药房,销售药品,对乙酰氨基酚
胰岛素,保质期,24个月
胰岛素,生产日期,2023-06-01
胰岛素,是否处方药,是
胰岛素,是否医保药,是
胰岛素,生产厂家,诺和诺德
胰岛素,供应商,上海医药
胰岛素,销售于,国大药房
诺和诺德,地址,丹麦
诺和诺德,生产药品,胰岛素
上海医药,供应日期,2023-07-15
上海医药,地址,上海
上海医药,供应药品,胰岛素
上海医药,供应给,国大药房
国大药房,地址,上海市黄浦区
国大药房,销售药品,胰岛素
头孢克肟,保质期,18个月
头孢克肟,生产日期,2023-08-20
头孢克肟,是否处方药,是
头孢克肟,是否医保药,否
头孢克肟,生产厂家,辉瑞制药
头孢克肟,供应商,广州医药
头孢克肟,销售于,大参林大药房
辉瑞制药,地址,美国
辉瑞制药,生产药品,头孢克肟
广州医药,供应日期,2023-09-10
广州医药,地址,广州
广州医药,供应药品,头孢克肟
广州医药,供应给,大参林大药房
大参林大药房,地址,广州市越秀区
大参林大药房,销售药品,头孢克肟
